City,State,Average Daily Cost per person,CityState,,,
Sedona,AZ,34,"Sedona, AZ",,,", "
Chattanooga,TN,35,"Chattanooga, TN",,,
Durango,CO,49,"Durango, CO",,,
Ocean City,MD,56,"Ocean City, MD",,,
Boone,IL,57,"Boone, IL",,,
Pittsburg,PA,60,"Pittsburg, PA",,,
Virginia Beach,VA,60,"Virginia Beach, VA",,,
Memphis,TN,61,"Memphis, TN",,,
Albuquerque,NM,72,"Albuquerque, NM",,,
Durham,NC,73,"Durham, NC",,,
Michigan,MI,79,"Michigan, MI",,,
Yellow Stone National Park,WY,89,"Yellow Stone National Park, WY",,,
Williamsburg,VA,90,"Williamsburg, VA",,,
Raleigh,NC,92,"Raleigh, NC",,,
Roswell,NM,93,"Roswell, NM",,,
Rapid City,SD,93,"Rapid City, SD",,,
Saint Augustine,FL,94,"Saint Augustine, FL",,,
Grand Teton National Park,WY,95,"Grand Teton National Park, WY",,,
Zion National Park,UT,95,"Zion National Park, UT",,,
Santa Cruz,CA,101,"Santa Cruz, CA",,,
Glacier National Park,MT,102,"Glacier National Park, MT",,,
Cincinnati,OH,103,"Cincinnati, OH",,,
Dallas,TX,103,"Dallas, TX",,,
Colorado,CO,104,"Colorado, CO",,,
Yosemite National Park,CA,104,"Yosemite National Park, CA",,,
Cleveland,OH,106,"Cleveland, OH",,,
San Antonio,TX,106,"San Antonio, TX",,,
Asheville,NC,106,"Asheville, NC",,,
Cody ,WY,108,"Cody , WY",,,
Bryce Canyon National Park,UT,108,"Bryce Canyon National Park, UT",,,
Lewisburg,PA,109,"Lewisburg, PA",,,
Monterey,CA,111,"Monterey, CA",,,
Reno,NV,113,"Reno, NV",,,
Charleston,SC,113,"Charleston, SC",,,
Phoenix,AZ,114,"Phoenix, AZ",,,
Austin,TX,114,"Austin, TX",,,
Hood River,OR,116,"Hood River, OR",,,
Cocoa Beach,FL,116,"Cocoa Beach, FL",,,
Tampa,FL,118,"Tampa, FL",,,
Fort Lauderdale,FL,118,"Fort Lauderdale, FL",,,
Portland,ME,120,"Portland, ME",,,
Daytona Beach,FL,121,"Daytona Beach, FL",,,
Savannah,GA,122,"Savannah, GA",,,
Moab,UT,124,"Moab, UT",,,
Greenville,SC,125,"Greenville, SC",,,
Santa Fe,NM,127,"Santa Fe, NM",,,
Grand Canyon National Park,AZ,130,"Grand Canyon National Park, AZ",,,
Nashville, TN,130,"Nashville,  TN",,,
Santa Barbara, CA,130,"Santa Barbara,  CA",,,
Portland, ME,136,"Portland,  ME",,,
Philadelphia, PA,136,"Philadelphia,  PA",,,
Hilo,HI,137,"Hilo, HI",,,
Atlanta, GA,137,"Atlanta,  GA",,,
Myrtle Beach,SC,139,"Myrtle Beach, SC",,,
Baltimore, MD,143,"Baltimore,  MD",,,
Maui,HI,148,"Maui, HI",,,
Milwaukee, WI,150,"Milwaukee,  WI",,,
Gatlinburg,TN,152,"Gatlinburg, TN",,,
Berkeley, CA,152,"Berkeley,  CA",,,
Kauai,HI,152,"Kauai, HI",,,
Houston, TX,153,"Houston,  TX",,,
Seattle, WA,154,"Seattle,  WA",,,
Washington, DC,155,"Washington,  DC",,,
Miami, FL,157,"Miami,  FL",,,
San Diego, CA,162,"San Diego,  CA",,,
Minneapolis, MN,167,"Minneapolis,  MN",,,
Denver, CO,168,"Denver,  CO",,,
Key West,FL,170,"Key West, FL",,,
San Francisco, CA,172,"San Francisco,  CA",,,
Salt Lake City, UT,173,"Salt Lake City,  UT",,,
Denali National Park,AK,175,"Denali National Park, AK",,,
Saint Louis, MO,175,"Saint Louis,  MO",,,
Chicago, IL,180,"Chicago,  IL",,,
Boulder, CO,181,"Boulder,  CO",,,
Ketchikan,AK,184,"Ketchikan, AK",,,
Los Angeles, CA,190,"Los Angeles,  CA",,,
New Orleans, LA,191,"New Orleans,  LA",,,
Chapel Hill,NC,195,"Chapel Hill, NC",,,
Honolulu, HI,196,"Honolulu,  HI",,,
Anchorage, AK,198,"Anchorage,  AK",,,
Big Sur,CA,200,"Big Sur, CA",,,
Destin,FL,201,"Destin, FL",,,
Boston, MA,212,"Boston,  MA",,,
Charlotte, NC,218,"Charlotte,  NC",,,
Napa Valley,CA,230,"Napa Valley, CA",,,
New York, NY,238,"New York,  NY",,,
Orlando, FL,241,"Orlando,  FL",,,
Panama City,FL,244,"Panama City, FL",,,
Las Vegas, NV,250,"Las Vegas,  NV",,,
Oahu,HI,266,"Oahu, HI",,,
Detroit, MI,312,"Detroit,  MI",,,
Park City ,UT,374,"Park City , UT",,,
Palm Springs,CA,377,"Palm Springs, CA",,,
Jacksonville, FL,854,"Jacksonville,  FL",,,
Brooklyn, NY,409,"Brooklyn,  NY",,,
Santa Rosa, CA,250,"Santa Rosa,  CA",,,
Bellevue, WA,155,"Bellevue,  WA",,,
Jersey City, NJ,350,"Jersey City,  NJ",,,
Oakland, CA,106,"Oakland,  CA",,,
Hartford, CT,255,"Hartford,  CT",,,
Albany, NY,83,"Albany,  NY",,,
Irvine, CA,185,"Irvine,  CA",,,
Long Beach, CA,269,"Long Beach,  CA",,,
San Jose, CA,220,"San Jose,  CA",,,
Burlington, VT,108,"Burlington,  VT",,,
Pittsburgh, PA,60,"Pittsburgh,  PA",,,
Sacramento, CA,202,"Sacramento,  CA",,,
West Palm Beach, FL,350,"West Palm Beach,  FL",,,
Everett, WA,150,"Everett,  WA",,,
Tacoma, WA,110,"Tacoma,  WA",,,
Eugene, OR,128,"Eugene,  OR",,,
Bellingham, WA,110,"Bellingham,  WA",,,
Saint Paul, MN,125,"Saint Paul,  MN",,,
Birmingham, AL,53,"Birmingham,  AL",,,
Fort Myers, FL,200,"Fort Myers,  FL",,,
Indianapolis, IN,210,"Indianapolis,  IN",,,
Buffalo, NY,250,"Buffalo,  NY",,,
Kansas City,MO,129,"Kansas City, MO",,,
