city,state,city_state
Sedona,AZ,"Sedona, AZ"
Chattanooga,TN,"Chattanooga, TN"
Durango,CO,"Durango, CO"
Ocean City,MD,"Ocean City, MD"
Boone,IL,"Boone, IL"
Pittsburg,PA,"Pittsburg, PA"
Virginia Beach,VA,"Virginia Beach, VA"
Memphis,TN,"Memphis, TN"
Albuqueque,NM,"Albuqueque, NM"
Durham,NC,"Durham, NC"
Michigan,MI,"Michigan, MI"
Williamsburg,VA,"Williamsburg, VA"
Raleigh,NC,"Raleigh, NC"
Roswell,NM,"Roswell, NM"
Rapid City,SD,"Rapid City, SD"
Saint Augustine,FL,"Saint Augustine, FL"
Santa Cruz,CA,"Santa Cruz, CA"
Cincinnati,OH,"Cincinnati, OH"
Dallas,TX,"Dallas, TX"
Colorado Spring,CO,"Colorado Spring, CO"
Cleveland,OH,"Cleveland, OH"
San Antonio,TX,"San Antonio, TX"
Asheville,NC,"Asheville, NC"
Cody ,WY,"Cody , WY"
Lewisburg,PA,"Lewisburg, PA"
Monterey,CA,"Monterey, CA"
Reno,NV,"Reno, NV"
Charleston,SC,"Charleston, SC"
Phoneix,AZ,"Phoneix, AZ"
Austin,TX,"Austin, TX"
Hood River,OR,"Hood River, OR"
Cocoa Beach,FL,"Cocoa Beach, FL"
Tampa,FL,"Tampa, FL"
Fort Lauderdale,FL,"Fort Lauderdale, FL"
"Portland, Maine",ME,"Portland, Maine, ME"
Daytona,FL,"Daytona, FL"
Savannah,GA,"Savannah, GA"
Moab,UT,"Moab, UT"
Greenville,SC,"Greenville, SC"
Santa Fe,NM,"Santa Fe, NM"
Nashville,TN,"Nashville, TN"
Santa Barbara,CA,"Santa Barbara, CA"
Portland,ME,"Portland, ME"
Philadelphia,PA,"Philadelphia, PA"
Hilo,HI,"Hilo, HI"
Atlanta,GA,"Atlanta, GA"
Myrtle Beach,SC,"Myrtle Beach, SC"
Baltimore,MD,"Baltimore, MD"
Maui,HI,"Maui, HI"
Milwaukee,WI,"Milwaukee, WI"
Gatlinburg,TN,"Gatlinburg, TN"
Berkeley,CA,"Berkeley, CA"
Kauai,HI,"Kauai, HI"
Houston,TX,"Houston, TX"
Seattle,WA,"Seattle, WA"
Washington,DC,"Washington, DC"
Miami,FL,"Miami, FL"
San Diego,CA,"San Diego, CA"
Minneapolis,MN,"Minneapolis, MN"
Denver,CO,"Denver, CO"
Key West,FL,"Key West, FL"
San Francisco,CA,"San Francisco, CA"
Salt Lake City,UT,"Salt Lake City, UT"
Saint Louis,MO,"Saint Louis, MO"
Chicago, IL,"Chicago,  IL"
Boulder,CO,"Boulder, CO"
Ketchikan,AK,"Ketchikan, AK"
Los Angeles,CA,"Los Angeles, CA"
New Orleans,LA,"New Orleans, LA"
Chapel Hill,NC,"Chapel Hill, NC"
Honolulu,HI,"Honolulu, HI"
Anchorage,AK,"Anchorage, AK"
Destin,FL,"Destin, FL"
Boston,MA,"Boston, MA"
Charlotte,NC,"Charlotte, NC"
Napa Valley,CA,"Napa Valley, CA"
New York,NY,"New York, NY"
Orlando,FL,"Orlando, FL"
Panama City,FL,"Panama City, FL"
Las Vegas,NV,"Las Vegas, NV"
Detroit,MI,"Detroit, MI"
Palm Springs,CA,"Palm Springs, CA"
Jacksonville,FL,"Jacksonville, FL"
Brooklyn,NY,"Brooklyn, NY"
Santa Rosa,CA,"Santa Rosa, CA"
Bellevue,WA,"Bellevue, WA"
Jersey City,NJ,"Jersey City, NJ"
Oakland,CA,"Oakland, CA"
Hartford,CT,"Hartford, CT"
Albany,NY,"Albany, NY"
Irvine,CA,"Irvine, CA"
Long Beach,CA,"Long Beach, CA"
San Jose,CA,"San Jose, CA"
Burlington,VT,"Burlington, VT"
Pittsburgh,PA,"Pittsburgh, PA"
Sacramento,CA,"Sacramento, CA"
West Palm Beach,FL,"West Palm Beach, FL"
Everett,WA,"Everett, WA"
Tacoma,WA,"Tacoma, WA"
Eugene,OR,"Eugene, OR"
Bellingham,WA,"Bellingham, WA"
Saint Paul,MN,"Saint Paul, MN"
Birmingham,AL,"Birmingham, AL"
Fort Myers,FL,"Fort Myers, FL"
Indianapolis,IN,"Indianapolis, IN"
Buffalo,NY,"Buffalo, NY"
Kansas City,MO,"Kansas City, MO"
