city,state,city_state,country
New York, NY,"New York,  NY", United States
San Francisco, CA,"San Francisco,  CA", United States
Honolulu, HI,"Honolulu,  HI", United States
Anchorage, AK,"Anchorage,  AK", United States
Brooklyn, NY,"Brooklyn,  NY", United States
Washington, DC,"Washington,  DC", United States
Santa Rosa, CA,"Santa Rosa,  CA", United States
Charleston, SC,"Charleston,  SC", United States
Bellevue, WA,"Bellevue,  WA", United States
Seattle, WA,"Seattle,  WA", United States
Berkeley, CA,"Berkeley,  CA", United States
Jersey City, NJ,"Jersey City,  NJ", United States
Oakland, CA,"Oakland,  CA", United States
Boston, MA,"Boston,  MA", United States
Hartford, CT,"Hartford,  CT", United States
Albany, NY,"Albany,  NY", United States
Philadelphia, PA,"Philadelphia,  PA", United States
Irvine, CA,"Irvine,  CA", United States
Long Beach, CA,"Long Beach,  CA", United States
Los Angeles, CA,"Los Angeles,  CA", United States
Chicago, IL,"Chicago,  IL", United States
Boulder, CO,"Boulder,  CO", United States
San Jose, CA,"San Jose,  CA", United States
Burlington, VT,"Burlington,  VT", United States
Pittsburgh, PA,"Pittsburgh,  PA", United States
Miami, FL,"Miami,  FL", United States
Santa Barbara, CA,"Santa Barbara,  CA", United States
Sacramento, CA,"Sacramento,  CA", United States
Portland, ME,"Portland,  ME", United States
West Palm Beach, FL,"West Palm Beach,  FL", United States
Everett, WA,"Everett,  WA", United States
Tacoma, WA,"Tacoma,  WA", United States
Portland, OR,"Portland,  OR", United States
Baltimore, MD,"Baltimore,  MD", United States
New Orleans, LA,"New Orleans,  LA", United States
Charlotte, NC,"Charlotte,  NC", United States
Minneapolis, MN,"Minneapolis,  MN", United States
Eugene, OR,"Eugene,  OR", United States
San Diego, CA,"San Diego,  CA", United States
Bellingham, WA,"Bellingham,  WA", United States
Atlanta, GA,"Atlanta,  GA", United States
Denver, CO,"Denver,  CO", United States
Saint Paul, MN,"Saint Paul,  MN", United States
Birmingham, AL,"Birmingham,  AL", United States
Asheville, NC,"Asheville,  NC", United States
Fort Myers, FL,"Fort Myers,  FL", United States
Indianapolis, IN,"Indianapolis,  IN", United States
Jacksonville, FL,"Jacksonville,  FL", United States
Buffalo, NY,"Buffalo,  NY", United States
Olympia, WA,"Olympia,  WA", United States
Saint Petersburg, FL,"Saint Petersburg,  FL", United States
Austin, TX,"Austin,  TX", United States
Rochester, NY,"Rochester,  NY", United States
Orlando, FL,"Orlando,  FL", United States
Peoria, IL,"Peoria,  IL", United States
Cleveland, OH,"Cleveland,  OH", United States
Raleigh, NC,"Raleigh,  NC", United States
Arlington, TX,"Arlington,  TX", United States
Saint Louis, MO,"Saint Louis,  MO", United States
Milwaukee, WI,"Milwaukee,  WI", United States
Nashville, TN,"Nashville,  TN", United States
Tampa, FL,"Tampa,  FL", United States
Virginia Beach, VA,"Virginia Beach,  VA", United States
Syracuse, NY,"Syracuse,  NY", United States
Tallahassee, FL,"Tallahassee,  FL", United States
Bakersfield, CA,"Bakersfield,  CA", United States
Ann Arbor, MI,"Ann Arbor,  MI", United States
Las Vegas, NV,"Las Vegas,  NV", United States
Columbus, OH,"Columbus,  OH", United States
Spokane, WA,"Spokane,  WA", United States
Memphis, TN,"Memphis,  TN", United States
Columbia, SC,"Columbia,  SC", United States
Salem, OR,"Salem,  OR", United States
Fort Wayne, IN,"Fort Wayne,  IN", United States
Dayton, OH,"Dayton,  OH", United States
Kansas City, MO,"Kansas City,  MO", United States
Fort Worth, TX,"Fort Worth,  TX", United States
Fayetteville, AR,"Fayetteville,  AR", United States
Richmond, VA,"Richmond,  VA", United States
Greensboro, NC,"Greensboro,  NC", United States
Dallas, TX,"Dallas,  TX", United States
Albuquerque, NM,"Albuquerque,  NM", United States
Phoenix, AZ,"Phoenix,  AZ", United States
Gainesville, FL,"Gainesville,  FL", United States
Grand Rapids, MI,"Grand Rapids,  MI", United States
Tucson, AZ,"Tucson,  AZ", United States
Madison, WI,"Madison,  WI", United States
Chattanooga, TN,"Chattanooga,  TN", United States
Fresno, CA,"Fresno,  CA", United States
Wichita, KS,"Wichita,  KS", United States
Salt Lake City, UT,"Salt Lake City,  UT", United States
Detroit, MI,"Detroit,  MI", United States
Tulsa, OK,"Tulsa,  OK", United States
Cincinnati, OH,"Cincinnati,  OH", United States
Lubbock, TX,"Lubbock,  TX", United States
Des Moines, IA,"Des Moines,  IA", United States
Houston, TX,"Houston,  TX", United States
Oklahoma City, OK,"Oklahoma City,  OK", United States
Knoxville, TN,"Knoxville,  TN", United States
Springfield, MO,"Springfield,  MO", United States
Vancouver, WA,"Vancouver,  WA", United States
Toledo, OH,"Toledo,  OH", United States
Little Rock, AR,"Little Rock,  AR", United States
Louisville, KY,"Louisville,  KY", United States
Reno, NV,"Reno,  NV", United States
Huntsville, AL,"Huntsville,  AL", United States
Lexington, KY,"Lexington,  KY", United States
Boise, ID,"Boise,  ID", United States
El Paso, TX,"El Paso,  TX", United States
San Antonio, TX,"San Antonio,  TX", United States
