name,rating,Interest Type,City
The Plaza,4.5,hotel,New York
Four Seasons Hotel New York,4.6,hotel,New York
"The Ritz-Carlton New York, Central Park",4.5,hotel,New York
"Mandarin Oriental, New York",4.6,hotel,New York
Baccarat Hotel,4.6,hotel,New York
The Bowery Hotel,4.4,hotel,New York
Four Seasons Hotel New York Downtown,4.7,hotel,New York
The Greenwich Hotel,4.6,hotel,New York
W New York – Downtown,4.3,hotel,New York
Soho Grand Hotel,4.4,hotel,New York
Hotel Pennsylvania,2.7,hotel,New York
Blue Moon Hotel,3.5,hotel,New York
Millennium Hilton New York Downtown,4.2,hotel,New York
1 Hotel Central Park,4.5,hotel,New York
New York Hilton Midtown,4.1,hotel,New York
Hyatt Herald Square New York,4.2,hotel,New York
"The Chatwal, a Luxury Collection Hotel, New York City",4.6,hotel,New York
Crosby Street Hotel,4.6,hotel,New York
Dream Downtown,4.0,hotel,New York
Hotel on Rivington,4.3,hotel,New York
Luna Park,4.4,amusement_park,New York
Playland Park,4.3,amusement_park,New York
BAYVILLE SCREAM PARK,4.4,amusement_park,New York
Six Flags Great Adventure,4.4,amusement_park,New York
Coney Island,4.5,amusement_park,New York
The Dead Rabbit Grocery and Grog,4.6,bar,New York
Rudy's,4.5,bar,New York
McSorley's Old Ale House,4.7,bar,New York
The Wayland,4.6,bar,New York
169 Bar,4.2,bar,New York
King Cole Bar,4.4,bar,New York
Employees Only,4.4,bar,New York
230 Fifth Rooftop Bar,4.3,bar,New York
Attaboy,4.6,bar,New York
NoMad Bar,4.6,bar,New York
Foley's NY,4.4,bar,New York
Tonic Times Square,4.3,bar,New York
Blind Tiger,4.5,bar,New York
BAR GOTO,4.7,bar,New York
Maison Premiere,4.6,bar,New York
Sake Bar Decibel,4.5,bar,New York
Broken Shaker at Freehand New York,4.1,bar,New York
The Rum House,4.5,bar,New York
Bemelmans Bar,4.4,bar,New York
Amor y Amargo,4.7,bar,New York
Hole in the Wall Cafe and Bar,4.6,cafe,New York
Café Grumpy,4.3,cafe,New York
B Cup Cafe New York City,4.3,cafe,New York
Ground Support Cafe,4.3,cafe,New York
Stumptown Coffee Roasters,4.5,cafe,New York
Hard Rock Cafe,4.3,cafe,New York
Le Cafe Coffee,4.4,cafe,New York
Piccolo Cafe,4.3,cafe,New York
THE ELK,4.5,cafe,New York
Café Grumpy,4.3,cafe,New York
Everyman Espresso,4.5,cafe,New York
Macaron Café,4.3,cafe,New York
Fanelli Cafe,4.4,cafe,New York
Everyman Espresso,4.5,cafe,New York
Le Cafe Coffee,4.6,cafe,New York
Cafe Lalo,3.9,cafe,New York
Intelligentsia Coffee Highline Coffeebar,4.6,cafe,New York
Housing Works Bookstore Cafe & Bar,4.6,cafe,New York
Abraço,4.6,cafe,New York
Cupping Room Cafe,4.3,cafe,New York
Resorts World Casino New York City,3.7,casino,New York
Empire City Casino,3.9,casino,New York
Ace & Jack Casino Theme Night Party Rentals NY NJ CT PA,4.9,casino,New York
紐約市雲頂世界賭場,3.4,casino,New York
Big Deal Casino,4.4,casino,New York
ULTIMATE TRADE,0.0,casino,New York
CAZZNY Events,5.0,casino,New York
Casinos By M&M,4.5,casino,New York
American Museum of Natural History,4.5,museum,New York
The Metropolitan Museum of Art,4.8,museum,New York
Solomon R. Guggenheim Museum,4.3,museum,New York
Museum of the City of New York,4.4,museum,New York
Tenement Museum,4.6,museum,New York
"Intrepid Sea, Air & Space Museum",4.6,museum,New York
Whitney Museum of American Art,4.5,museum,New York
New-York Historical Society,4.3,museum,New York
Neue Galerie,4.5,museum,New York
New Museum,4.1,museum,New York
The Morgan Library & Museum,4.7,museum,New York
New York Transit Museum,4.6,museum,New York
Cooper Hewitt Smithsonian Design Museum,4.5,museum,New York
Rubin Museum of Art,4.6,museum,New York
The Met Cloisters,4.7,museum,New York
The Frick Collection,4.6,museum,New York
Ellis Island National Museum of Immigration,4.7,museum,New York
Rose Center for Earth & Space,4.7,museum,New York
The Museum at FIT,4.4,museum,New York
The Met Breuer,4.5,museum,New York
Best Clubs In New York,3.8,night_club,New York
Marquee New York,3.1,night_club,New York
LAVO Italian Restaurant,4.0,night_club,New York
The Press Lounge,4.5,night_club,New York
PHD Lounge,3.2,night_club,New York
48 Lounge,4.3,night_club,New York
1 OAK,2.5,night_club,New York
Katra Lounge & Event Space,3.9,night_club,New York
Le Bain,3.7,night_club,New York
The Copacabana Times Square,3.4,night_club,New York
Retroclubnyc,4.0,night_club,New York
The Monster,3.8,night_club,New York
TAO Downtown Nightclub,3.6,night_club,New York
Sky Room,3.6,night_club,New York
Sound Of Brazil,3.9,night_club,New York
XL Nightclub,3.5,night_club,New York
5 Bar Karaoke Lounge NYC,4.1,night_club,New York
M1-5 Lounge,3.9,night_club,New York
Gotham Lounge,4.0,night_club,New York
Babylon Hookah Lounge,3.5,night_club,New York
Le Coucou,4.6,restaurant,New York
Le Bernardin,4.7,restaurant,New York
Blue Hill,4.6,restaurant,New York
Piccola Cucina Osteria Siciliana,4.6,restaurant,New York
Frenchette,4.4,restaurant,New York
