Total Rating Counts,Average of Ratings,Max Number of Reviews,Average Number of Reviews,city_sort,interest_sort
16,4.36,2333.0,344.19,"Albany,  NY",amusement_park
20,4.42,948.0,398.4,"Albany,  NY",bar
20,4.51,761.0,209.35,"Albany,  NY",cafe
20,3.54,9836.0,1968.05,"Albany,  NY",casino
20,3.94,1259.0,457.9,"Albany,  NY",hotel
20,3.92,1455.0,134.55,"Albany,  NY",museum
20,4.3,948.0,204.05,"Albany,  NY",night_club
20,4.54,761.0,382.6,"Albany,  NY",restaurant
2,4.2,4816.0,2930.5,"Albany,  NY",shopping_mall
20,4.15,129.0,27.95,"Albany,  NY",spa
3,4.27,2084.0,776.33,"Albany,  NY",stadium
20,4.44,2741.0,729.4,"Albany,  NY",zoo
1,4.4,2306.0,2306.0,"Albuquerque,  NM",amusement_park
20,4.24,1725.0,496.35,"Albuquerque,  NM",bar
20,4.46,1581.0,575.2,"Albuquerque,  NM",cafe
15,3.63,9703.0,2036.33,"Albuquerque,  NM",casino
20,4.11,1756.0,815.15,"Albuquerque,  NM",hotel
20,4.54,6153.0,888.6,"Albuquerque,  NM",museum
20,3.23,872.0,98.45,"Albuquerque,  NM",night_club
20,4.52,4003.0,1099.5,"Albuquerque,  NM",restaurant
20,4.22,6021.0,1129.4,"Albuquerque,  NM",shopping_mall
20,4.54,328.0,69.95,"Albuquerque,  NM",spa
13,3.68,2844.0,427.77,"Albuquerque,  NM",stadium
3,4.33,6153.0,2065.0,"Albuquerque,  NM",zoo
2,3.8,315.0,195.5,"Anchorage,  AK",amusement_park
20,4.25,4432.0,490.0,"Anchorage,  AK",bar
20,4.43,1554.0,257.4,"Anchorage,  AK",cafe
10,3.39,704.0,154.8,"Anchorage,  AK",casino
20,3.84,449.0,225.65,"Anchorage,  AK",hotel
14,4.49,626.0,103.36,"Anchorage,  AK",museum
20,3.11,235.0,70.05,"Anchorage,  AK",night_club
20,4.53,4432.0,955.6,"Anchorage,  AK",restaurant
20,3.54,2311.0,434.75,"Anchorage,  AK",shopping_mall
20,4.26,127.0,28.1,"Anchorage,  AK",spa
13,4.34,342.0,79.69,"Anchorage,  AK",stadium
1,4.4,1296.0,1296.0,"Anchorage,  AK",zoo
10,4.33,686.0,311.6,"Ann Arbor,  MI",amusement_park
20,4.4,930.0,441.45,"Ann Arbor,  MI",bar
20,4.53,509.0,231.5,"Ann Arbor,  MI",cafe
13,4.07,3887.0,757.46,"Ann Arbor,  MI",casino
20,4.18,2616.0,586.1,"Ann Arbor,  MI",hotel
20,4.76,2004.0,298.65,"Ann Arbor,  MI",museum
20,4.18,597.0,127.2,"Ann Arbor,  MI",night_club
20,4.54,3452.0,1033.6,"Ann Arbor,  MI",restaurant
20,3.82,3775.0,539.45,"Ann Arbor,  MI",shopping_mall
20,4.4,969.0,138.95,"Ann Arbor,  MI",spa
1,4.7,3887.0,3887.0,"Ann Arbor,  MI",stadium
4,4.62,615.0,345.75,"Ann Arbor,  MI",zoo
2,4.25,16880.0,8748.0,"Arlington,  TX",amusement_park
20,4.35,1542.0,523.05,"Arlington,  TX",bar
20,4.29,1144.0,380.35,"Arlington,  TX",cafe
