State/Cities,Average Daily Cost per person,Region,Range
Sedona,34,The West,Low Budget
Chattanooga,35,The South,Low Budget
Durango,49,The West,Low Budget
Ocean City,56,The South,Low Budget
Boone,57,The MidWest,Low Budget
Pittsburg,60,The NorthEast,Low Budget
Virginia Beach,60,The South,Low Budget
Memphis,61,The South,Low Budget
Albuqueque,72,The West,Low Budget
Durham,73,The South,Low Budget
Michigan,79,The MidWest,Low Budget
Yellow Stone National Park,89,The West,Low Budget
Williamsburg,90,The South,Low Budget
Raleigh,92,The South,Low Budget
"Roswell, New Mexico",93,The West,Low Budget
Rapid City,93,The MidWest,Low Budget
"Roswell, New Mexico",93,The West,Low Budget
Saint Augustine,94,The South,Low Budget
Grand Teton National Park,95,The West,Low Budget
Zion National Park,95,The South,Low Budget
Santa Cruz,101,The West,Low Budget
Glacier National Park,102,The West,Low Budget
Cincinnati,103,The MidWest,Low Budget
Dallas,103,The South,Low Budget
Colorado Spring,104,The West,Low Budget
Yosemite National Park,104,The West,Low Budget
Cleveland,106,The MidWest,Low Budget
San Antonio,106,The South,Low Budget
Asheville,106,The South,Low Budget
Montana,107,The West,Low Budget
Cody Wyoming,108,The West,Low Budget
Bryce Canyon National Park,108,The West,Low Budget
Lewisburg,109,The NorthEast,Low Budget
Monterey,111,The West,Low Budget
Reno,113,The West,Low Budget
Charleston,113,The South,Low Budget
Phoneix,114,The West,Low Budget
Austin,114,The South,Low Budget
Hood River,116,The West,Low Budget
Virginia,116,The South,Low Budget
Cocoa Beach,116,The South,Low Budget
Tampa,118,The South,Low Budget
Fort Lauderdale,118,The South,Low Budget
Hershey,120,The NorthEast,Low Budget
"Portland, Maine",120,The NorthEast,Low Budget
Daytona,121,The South,Low Budget
Savannah,122,The South,Low Budget
Woodstock,123,The NorthEast,Low Budget
Moab,124,The West,Low Budget
Greenville,125,The South,Medium Budget
Idaho,127,The West,Medium Budget
Santa Fe,127,The West,Medium Budget
Georgia,129,The South,Medium Budget
Grand Canyon National Park,130,The West,Medium Budget
Nashville,130,The South,Medium Budget
Santa Barbara,130,The West,Medium Budget
Portland,136,The West,Medium Budget
Philadelphia,136,The NorthEast,Medium Budget
Hilo,137,The West,Medium Budget
Atlanta,137,The South,Medium Budget
Myrtle Beach,139,The South,Medium Budget
Baltimore,143,The South,Medium Budget
North Carolina,144,The South,Medium Budget
Maine,144,The NorthEast,Medium Budget
Maui,148,The West,Medium Budget
Milwaukee,150,The MidWest,Medium Budget
Gatlinburg,152,The South,Medium Budget
Berkeley,152,The West,Medium Budget
Kauai,152,The West,Medium Budget
Houston,153,The South,Medium Budget
Seattle,154,The West,Medium Budget
Texas,154,The South,Medium Budget
Washington,155,The South,Medium Budget
South Corolina,157,The South,Medium Budget
Miami,157,The South,Medium Budget
San Diego,162,The West,Medium Budget
Minneapolis,167,The MidWest,Medium Budget
Denver,168,The West,Medium Budget
Key West,170,The South,Medium Budget
San Francisco,172,The West,Medium Budget
Salt Lake City,173,The West,Medium Budget
Denali National Park,175,The West,Medium Budget
Saint Louis,175,The MidWest,Medium Budget
Denali National Park,175,The West,Medium Budget
Chicago,180,The MidWest,Medium Budget
Boulder,181,The West,Medium Budget
Ketchikan,184,The West,Medium Budget
Los Angeles,190,The West,Medium Budget
New Orleans,191,The South,Medium Budget
Florida,195,The South,Medium Budget
Chapel Hill,195,The South,Medium Budget
Honolulu,196,The West,Medium Budget
Anchorage,198,The West,Medium Budget
California,200,The West,Premium Budget
NewPort,200,The NorthEast,Premium Budget
Big Sur,200,The West,Premium Budget
Destin,201,The South,Premium Budget
Hawaii,206,The West,Premium Budget
Boston,212,The NorthEast,Premium Budget
Charlotte,218,The South,Premium Budget
Vermont,229,The NorthEast,Premium Budget
Napa Valley,230,The West,Premium Budget
New York,238,The NorthEast,Premium Budget
Orlando,241,The South,Premium Budget
Panama City,244,The South,Premium Budget
Las Vegas,250,The West,Premium Budget
Oahu,266,The West,Premium Budget
Detroit,312,The MidWest,Premium Budget
Park City Utah,374,The West,Premium Budget
Palm Springs,377,The West,Premium Budget
Jacksonville,854,The South,Premium Budget
